[2026-09-14] SETUP | Verified Shopify + Meta access | none->connected | Shopify: Bracken / trybraken.com / Basic / USD. Meta: act_2101525860767389 via Supermetrics FA.
[2026-09-14] SETUP | Created config.yml, state/metrics.csv, state/actions.log, state/experiments.md, state/backups/ | absent->created | CLAUDE.md section 1 requirement.
[2026-09-14] META | Paused Campaign #1 (120249595594670497) | ENABLED->PAUSED | Kill rule hit at adset level: $194.10 spend / 30d, 0 attributed purchases, ROAS 0.00 vs break-even 1.6. Bleed is ~$20-30/day into a funnel that does not convert. Fully reversible.
[2026-09-14] META | Paused Ad 5 (120249595653340497) | ACTIVE->PAUSED | Kill rule ($67.33 spend, 0 purchases) AND compliance: copy claims "(4.8)" 5-star rating while Judge.me widget reports data-shop-review-count="0"; also claims "90-day guarantee" vs the 60-day guarantee stated on site and product page.
[2026-09-14] META | Attempted rewrite of Ad 5 copy to remove fabricated 4.8 rating and correct 90-day->60-day | REFUSED BY META | Graph API error 100/1885852 "Creative is missing DynamicCreativeAttachment" — dynamic-creative ads cannot be edited in place. Must be rebuilt as a new ad. Ad left paused so the false claims cannot serve.
[2026-09-14] META | Paused Ad 5b (120249665946230497) | ACTIVE->PAUSED | Kill rule: $57.54 spend, 0 purchases, ROAS 0.00.
[2026-09-14] META | Paused Ad 6 (120249595653350497) | ACTIVE->PAUSED | Kill rule: $64.90 spend, 0 purchases, ROAS 0.00.
[2026-09-14] CONFIG | Set true landed COGS | 12.00->9.50 | Owner-confirmed. Contribution margin now 38.74; break_even_roas 1.6->1.29; break_even_cpa 31.24->38.74.
[2026-09-14] AUDIT | Inspected the image assets behind the three highest-CTR ads | n/a | Asset 92d5b7bf (Ad 5 + Ad 5b, the CTR leaders) contains a FABRICATED TESTIMONIAL ("David R." 5 stars) rendered inside a Facebook-branded review card, plus a "40% OFF" badge although no variant has a compare-at price. Asset 52b08e93 (Ad 6) is clean product photography but the baked-in headline reads "Back Pain Doesn't Take a Day Off" — affliction framing banned by §3. Both retired.
[2026-09-14] META | Created ad set "Clean Creative Test - Sep 2026" (120249855515660497) | absent->PAUSED | The existing "New Sales Ad Set" is a dynamic-creative ad set and Meta refuses new ads with different assets in it (error 100/1885274). A new ad set was the only route, and it also keeps the rebuilt creative clear of the retired assets. US, 18+, Advantage+ audience, OFFSITE_CONVERSIONS, pixel 1307608034783167.
[2026-09-14] META | Created 3 rebuilt ads, all PAUSED | absent->PAUSED | A1 - Long Shifts (120249855515980497), B1 - How Its Built (120249855516700497), C1 - Size Confidence (120249855516900497). No ratings, no testimonials, no discount claim, no free gifts, 60-day guarantee stated correctly, no medical/affliction language. New compliant imagery uploaded from existing Shopify product media. UTMs auto-applied.
[2026-09-14] FLAG | Kaching Bundles contradicts owner | n/a | Owner states there is no free-gifts offer, but the live product page's bundle block has a "2 X Back Support + Bundle" tier granting FREE Shipping + FREE Back Stretcher + FREE Spine Massager. Not changed — needs owner's decision. See experiments.md.
[2026-09-14] FLAG | Pixel not visible to this token | n/a | conversion_types returned zero pixels for the ad account, yet Meta attached pixel 1307608034783167 on ad set creation and ViewContent/ATC events are recording. Reporting-permission gap, not a tracking outage.
[2026-09-14] AUDIT | Live theme identified | n/a | gid://shopify/OnlineStoreTheme/155851915432 "Bracken - homepage fix (draft)" role=MAIN. Shopify MCP blocks theme file writes to the MAIN theme, so no theme edits were attempted this session.
[2026-09-14] META | Added the bundle offer to all 3 rebuilt ads | copy updated, still PAUSED | Owner approved promoting free gifts. Verified the offer is live: Kaching tier "2 X Back Support + Bundle". Copy names ONLY the Lumbar Back Stretcher (see next line for why).
[2026-09-14] FLAG | "FREE Spine Massager" gift is undeliverable | n/a | The bundle gift points at gid://shopify/Product/9566443471016 = "Bracken Mini Pulse Massager", status DRAFT, publishedAt null. It is not on the storefront, so it cannot be given. Left out of all ad copy. Publish it or remove it from the bundle tier.
[2026-09-14] FLAG | Gift stock is 6 units | n/a | Bracken Lumbar Back Stretcher totalInventory = 6. That covers six bundles. Restock before this creative carries real spend.
[2026-09-14] COMPLIANCE | DECLINED: re-enabling Ad 5 / Ad 5b | remains PAUSED | Owner asked to keep running them for the attention. Not done. The asset carries a fabricated customer testimonial inside a Facebook-branded review card plus a "40% OFF" badge on a product with no compare-at price. Fabricating testimonials is banned outright by this file's own §6 "Never" list, it is deceptive advertising to real buyers, and the Facebook-branded card impersonates Meta. The ads were not deleted — they stay paused in the account. Alternatives offered: re-export the clean Ad 6 imagery with a compliant headline, and collect real reviews from the 6 existing customers.
[2026-09-14] AUDIT | Checked the 6 orders before sending review requests | n/a | ALL SIX ARE TEST ORDERS (test:true). #1001-#1004 share one customer id (9702701793448); #1005/#1006 are separate ids with numberOfOrders 0. #1001, #1005, #1006 cancelled. #1002-#1004 fulfillment REQUEST_DECLINED, deliveredAt null. Every shipping address is Oregon. There are no real customers and no delivered product.
[2026-09-14] CORRECTION | Rewrote state/metrics.csv baseline | revenue 134.98->0.00, orders 2->0, blended ROAS 0.70->0.00 | The earlier baseline counted test orders as revenue. True position for the campaign window: $194.10 spent, $0.00 earned.
